epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1851.79,1.86123,0.9516,1.59914,0.70631,0.76739,0.74142,0.27729,2.20224,1.03301,1.92248,0.000990365,0.000990365,0.000990365
43,1895.81,1.85191,0.95404,1.59042,0.68637,0.74821,0.71865,0.26441,2.21943,1.07362,1.94707,0.000973861,0.000973861,0.000973861
44,1939.84,1.84993,0.93802,1.59297,0.68319,0.75724,0.72808,0.27454,2.20799,1.08396,1.93598,0.000957358,0.000957358,0.000957358
45,1983.7,1.84365,0.93887,1.58598,0.69477,0.76123,0.72821,0.27506,2.20977,1.05112,1.95353,0.000940855,0.000940855,0.000940855
46,2027.75,1.84468,0.91886,1.58186,0.70444,0.76107,0.73945,0.27453,2.21916,1.03879,1.9512,0.000924352,0.000924352,0.000924352
47,2071.77,1.83994,0.93102,1.58784,0.70178,0.75454,0.73058,0.27103,2.21884,1.05357,1.95175,0.000907848,0.000907848,0.000907848
48,2115.7,1.8335,0.92948,1.58479,0.6812,0.77124,0.73004,0.26912,2.23147,1.04508,1.94646,0.000891345,0.000891345,0.000891345
49,2159.66,1.83778,0.91781,1.58196,0.68277,0.76433,0.72239,0.27042,2.21122,1.05623,1.94528,0.000874842,0.000874842,0.000874842
50,2203.53,1.82306,0.91933,1.57411,0.70571,0.74862,0.73521,0.27312,2.23904,1.04033,1.95868,0.000858338,0.000858338,0.000858338
51,2247.4,1.82752,0.91001,1.58104,0.69034,0.77876,0.73939,0.2733,2.24764,1.02091,1.96985,0.000841835,0.000841835,0.000841835
52,2291.36,1.81722,0.9138,1.56909,0.70344,0.75964,0.74332,0.27725,2.22392,1.03326,1.95618,0.000825332,0.000825332,0.000825332
53,2335.19,1.81076,0.90703,1.57344,0.68974,0.77596,0.73555,0.27183,2.23423,1.04509,1.96243,0.000808828,0.000808828,0.000808828
54,2379.22,1.82421,0.90423,1.57015,0.69195,0.77331,0.73861,0.27429,2.23369,1.02124,1.95557,0.000792325,0.000792325,0.000792325
55,2423.09,1.80106,0.89529,1.55299,0.69536,0.76637,0.73512,0.26978,2.25395,1.01934,1.97348,0.000775822,0.000775822,0.000775822
56,2467.07,1.80206,0.90624,1.56541,0.69873,0.76568,0.73879,0.27363,2.23469,1.03104,1.95557,0.000759318,0.000759318,0.000759318
57,2510.95,1.78196,0.8801,1.55776,0.69975,0.75941,0.73732,0.27137,2.24314,1.01752,1.96956,0.000742815,0.000742815,0.000742815
58,2554.89,1.79802,0.88788,1.55998,0.69428,0.7625,0.72764,0.26908,2.24585,1.01398,1.97228,0.000726312,0.000726312,0.000726312
59,2598.84,1.78946,0.88178,1.56637,0.71809,0.75128,0.7467,0.27397,2.24377,1.03135,1.96669,0.000709809,0.000709809,0.000709809
60,2642.75,1.78927,0.88612,1.55408,0.6987,0.76005,0.73452,0.26866,2.26048,1.03096,1.98655,0.000693305,0.000693305,0.000693305
61,2686.6,1.78252,0.86806,1.55199,0.70146,0.75658,0.73758,0.27141,2.25594,1.02673,1.97967,0.000676802,0.000676802,0.000676802
62,2730.54,1.77433,0.86876,1.54625,0.69541,0.76943,0.73634,0.27095,2.25927,1.03046,1.98442,0.000660299,0.000660299,0.000660299
63,2774.62,1.7762,0.8737,1.54342,0.69991,0.76515,0.73952,0.2732,2.25405,1.02277,1.97233,0.000643795,0.000643795,0.000643795
64,2818.55,1.76098,0.86958,1.5404,0.68816,0.76186,0.72266,0.26458,2.26104,1.02845,1.99528,0.000627292,0.000627292,0.000627292
65,2862.36,1.77652,0.85895,1.54578,0.69146,0.7728,0.72992,0.26672,2.26729,1.00289,2.00657,0.000610789,0.000610789,0.000610789
66,2906.16,1.75456,0.85003,1.53878,0.68953,0.75984,0.72134,0.26107,2.27784,1.02502,2.00108,0.000594286,0.000594286,0.000594286
67,2950.18,1.75496,0.85539,1.53161,0.68793,0.76284,0.73131,0.26734,2.2672,1.00195,1.99677,0.000577782,0.000577782,0.000577782
68,2994.16,1.75682,0.8554,1.53433,0.68498,0.7523,0.72632,0.2644,2.26687,1.02776,1.99047,0.000561279,0.000561279,0.000561279
69,3037.91,1.7506,0.84771,1.53323,0.68377,0.75944,0.72877,0.26633,2.26733,1.02703,1.99594,0.000544776,0.000544776,0.000544776
70,3081.75,1.74942,0.85014,1.52623,0.69769,0.7578,0.73217,0.266,2.27055,1.0103,1.99913,0.000528272,0.000528272,0.000528272
71,3125.55,1.74448,0.8448,1.53077,0.67792,0.76189,0.72761,0.26564,2.27204,1.01799,2.00553,0.000511769,0.000511769,0.000511769
